,idtramo,transito (vh/h),des_tramo,coordinates,color
191,A298,108,ACCESO DE BURJASSOT ENTRADA,"[[-0.3989751613, 39.4979266418], [-0.3995106591, 39.4975817086], [-0.399519626, 39.4975757383], [-0.3995283347, 39.4975695189], [-0.3995367607, 39.497563086], [-0.3995448927, 39.4975564304], [-0.39955273, 39.4975495699], [-0.3995602726, 39.4975425046], [-0.39956749690000004, 39.4975352431], [-0.39957439100000003, 39.497527794], [-0.3995809658, 39.4975201755], [-0.3995871984, 39.4975123783], [-0.39959308790000003, 39.4975044292], [-0.3995986226, 39.497496328], [-0.3996038021, 39.4974880838], [-0.3996086142, 39.4974797142], [-0.39961305890000004, 39.4974712193], [-0.3996171355, 39.497462617], [-0.3996208207, 39.4974539069], [-0.3996241256, 39.4974451072], [-0.3996270501, 39.4974362179], [-0.3996295816, 39.4974272658], [-0.39963172, 39.4974182508], [-0.3996334536, 39.4974091817], [-0.3996348047, 39.497400077], [-0.3996357385, 39.497390936], [-0.39963628900000003, 39.4973817863], [-0.399641648, 39.4972380538], [-0.3996422039, 39.4972287602], [-0.39964316600000005, 39.4972194846], [-0.3996445457, 39.4972102364], [-0.3996463307, 39.4972010334], [-0.3996485326, 39.4971918757], [-0.3996511388, 39.4971827901], [-0.3996541377, 39.4971737763], [-0.3996575402, 39.4971648527], [-0.39966134600000003, 39.4971560281], [-0.39966553180000003, 39.4971473022], [-0.3996701086, 39.4971386931], [-0.39967506410000003, 39.4971302186], [-0.39968038710000003, 39.4971218695], [-0.3996860877, 39.497113682], [-0.39969214350000004, 39.4971056375], [-0.399698553, 39.4970977721], [-0.39970531670000004, 39.4970900768], [-0.39971241090000004, 39.4970825601], [-0.3997198347, 39.4970752489], [-0.3997275884, 39.4970681343], [-0.3997356367, 39.4970612245], [-0.3997440023, 39.497054538], [-0.39975265, 39.4970480831], [-0.3997615913, 39.4970418599], [-0.3997707908, 39.4970358857], [-0.39978026050000004, 39.4970301518], [-0.3997899763, 39.4970246757], [-0.3997999263, 39.4970194661], [-0.3998101107, 39.4970145229], [-0.3998205057, 39.4970098548], [-0.40036964350000004, 39.4967728508], [-0.4004735688, 39.4967043488], [-0.40053558180000004, 39.4966100898], [-0.4005386247, 39.49660114], [-0.40054126360000003, 39.4965921092], [-0.4005435095, 39.4965830155], [-0.40054535010000003, 39.4965738767], [-0.4005467858, 39.4965646838], [-0.4005478155, 39.4965554638], [-0.4005484272, 39.4965462255], [-0.40054864430000003, 39.4965369693], [-0.4005484428, 39.4965277128], [-0.4005478336, 39.4965184741], [-0.4005468172, 39.4965092444], [-0.4005453921, 39.4965000596], [-0.4005435587, 39.4964909107], [-0.4005413279, 39.4964818159], [-0.4005386991, 39.4964727933], [-0.4005356606, 39.4964638427], [-0.40053223530000004, 39.4964549735], [-0.4005284227, 39.4964462037], [-0.4005242223, 39.4964375424], [-0.40051964570000004, 39.4964289897], [-0.400514692, 39.4964205728], [-0.4005093615, 39.4964122825], [-0.4005036764, 39.4964041465], [-0.40007543560000003, 39.4958158308]]","(0, 255, 0)"
192,A3,870,AV. CATALUÑA [De Rotonda a Primado Reig],"[[-0.3513195458, 39.4822649208], [-0.3530047804, 39.4812610817], [-0.35401300280000003, 39.4804154742], [-0.3548755609, 39.4795493711], [-0.3556062242, 39.4785443268]]","(255, 165, 0)"
193,A301,335,POETA QUEROL,"[[-0.37426577800000005, 39.4735481116], [-0.3744437292, 39.4724402492], [-0.374111956, 39.4704344045]]","(0, 255, 0)"
194,A33,2280,AVENIDA ARAGON,"[[-0.35780694300000004, 39.4717303023], [-0.3555959265, 39.4762782994]]","(255, 0, 0)"
195,A34,2805,AVENIDA ARAGON,"[[-0.36126011680000003, 39.4689419466], [-0.3583802393, 39.4705509437], [-0.35780694300000004, 39.4717303023]]","(255, 0, 0)"
196,A344,810,AVDA. CONSTITUCIÓN,"[[-0.3789920922, 39.4828912229], [-0.3785091297, 39.4855595494], [-0.3762027383, 39.4888260925]]","(255, 165, 0)"
197,A345,270,PUENTE EXPOSICIÓN (CALATRAVA),"[[-0.364690726, 39.4737413393], [-0.3668345369, 39.4726755588]]","(0, 255, 0)"
198,A39,403,AVENIDA BURJASSOT,"[[-0.3612067101, 39.4595738153], [-0.3601424295, 39.4579965123]]","(0, 255, 0)"
199,A392,617,ENTRADA-VALENCIA POR ALFAHUIR,"[[-0.3576014919, 39.4942708431], [-0.3584444593, 39.4939314897], [-0.3676520145, 39.4886994244], [-0.36839497800000004, 39.4879807779]]","(255, 165, 0)"
200,A394,566,SALIDA-VALENCIA POR ALFAHUIR,"[[-0.36839497800000004, 39.4879807779], [-0.36696566810000003, 39.4885306075], [-0.3612536169, 39.4918015191], [-0.3602646265, 39.4925683383], [-0.3580902415, 39.493798629], [-0.3576014919, 39.4942708431]]","(255, 165, 0)"
201,A395,210,C/ RUAYA,"[[-0.3785091297, 39.4855595494], [-0.3746093111, 39.4852913273]]","(0, 255, 0)"
202,A396,720,C/ PINTOR MAELLA,"[[-0.3478170651, 39.460871424], [-0.3483173833, 39.4595079402], [-0.34834594220000004, 39.459424567], [-0.3483707283, 39.4593404681], [-0.3483916911, 39.4592557504], [-0.3484088152, 39.4591705127], [-0.348422073, 39.459084871499996], [-0.3484314499, 39.4589989076], [-0.3484369406, 39.4589127558], [-0.34843854220000003, 39.4588264973], [-0.3484362382, 39.4587402579], [-0.3484300369, 39.4586541276], [-0.3484199458, 39.458568215], [-0.34840598370000003, 39.4584826374], [-0.34838817040000003, 39.4583974854], [-0.34836650150000004, 39.4583128761], [-0.3483410316, 39.4582289008], [-0.34831177950000003, 39.458145677], [-0.3482787879, 39.4580633048], [-0.3482420887, 39.4579818659], [-0.3482017357, 39.4579014698], [-0.3479254446, 39.4573574947], [-0.34766823080000003, 39.4568079364], [-0.3474302884, 39.4562531779]]","(255, 165, 0)"
203,A397,526,REUS (Entre Burjasot y Ruaya),"[[-0.3785091297, 39.4855595494], [-0.3822579305, 39.4857631321], [-0.382394502, 39.4857686951], [-0.3825312349, 39.485770577], [-0.3826679665, 39.4857687742], [-0.3828045458, 39.4857632831], [-0.3829407859, 39.4857541267], [-0.3830765358, 39.4857413015], [-0.38321162080000004, 39.4857248126], [-0.3833458883, 39.4857047016], [-0.3834791749, 39.4856809829], [-0.383611317, 39.4856536798], [-0.3837421499, 39.4856228427], [-0.38387152150000003, 39.485588495100004], [-0.3839992675, 39.4855506784], [-0.38518914860000003, 39.4850671751]]","(255, 165, 0)"
204,A398,5220,HNOS MACHADO(JUAN XXIII-CONST),"[[-0.3863592468, 39.4974788226], [-0.3794851703, 39.4990993212], [-0.37914189940000004, 39.4991699999], [-0.37879569550000003, 39.4992314495], [-0.37844696780000003, 39.4992836161], [-0.3780961149, 39.4993264186], [-0.37774355670000004, 39.4993598215], [-0.3773897258, 39.4993837714], [-0.3770350411, 39.4993982598], [-0.3766799229, 39.4994032511], [-0.3763247899, 39.4993987457], [-0.37597007200000004, 39.4993847534], [-0.3756161993, 39.4993612839], [-0.3752635666, 39.499328355], [-0.3749126136, 39.4992860309], [-0.3745637576, 39.499234348], [-0.374217415, 39.4991733697], [-0.3738739902, 39.4991031683], [-0.37036111380000003, 39.4980894542]]","(255, 0, 0)"
205,A399,4122,HNOS MACHADO(CONST-ALFAHUIR),"[[-0.37036111380000003, 39.4980894542], [-0.35850257950000003, 39.4947004009], [-0.3576014919, 39.4942708431]]","(255, 0, 0)"
206,A406,4680,PROLONGACION JUAN XXIII Entre Hermnanos Machado y Salvador Cervero,"[[-0.3862613696, 39.4975018995], [-0.3901945906, 39.5013441895]]","(255, 0, 0)"
207,A413,2304,MENORCA Entre Av. Francia y Av. Baleares,"[[-0.3438202247, 39.4585580142], [-0.34225962060000004, 39.4595446324]]","(255, 0, 0)"
208,A154,411,MARQUES DE SOTELO,"[[-0.37685855700000004, 39.4691527987], [-0.3770444673, 39.4675503744]]","(0, 255, 0)"
209,A155,427,MATIAS PERELLO,"[[-0.3637153078, 39.4632270022], [-0.3734318815, 39.4591271896]]","(0, 255, 0)"
210,A70,1,"CID, AVENIDA","[[-0.3925212292, 39.4674709627], [-0.3960947938, 39.4681143821]]","(0, 255, 0)"
211,A71,2850,"CID, AVENIDA","[[-0.3960947938, 39.4681143821], [-0.40557020590000004, 39.4698198242]]","(255, 0, 0)"
212,A72,1,"AVDA. CID,","[[-0.40557020590000004, 39.4698198242], [-0.4066290876, 39.4700103564], [-0.41743968730000003, 39.4692974664], [-0.4181251185, 39.4692599945], [-0.4188116631, 39.4692379754], [-0.4194987396, 39.4692314323], [-0.4201857679, 39.4692403432], [-0.4253490777, 39.4693654687], [-0.4254400446, 39.4693688714], [-0.42553080670000004, 39.4693746748], [-0.4256212479, 39.4693828763], [-0.4257112876, 39.4693934563], [-0.4258008097, 39.4694064121], [-0.4258897102, 39.4694217234], [-0.42597788550000004, 39.4694393698], [-0.4260652312, 39.4694593402], [-0.4261516555, 39.4694816053], [-0.4262370431, 39.4695061356], [-0.426321302, 39.4695329112], [-0.4264043408, 39.4695618848], [-0.4264860554, 39.4695930453], [-0.43496699110000003, 39.4729667829]]","(0, 255, 0)"
213,A73,324,CISCAR,"[[-0.3669404618, 39.467819882], [-0.3633548323, 39.4627136116]]","(0, 255, 0)"
214,A74,1368,CLARIANO,"[[-0.35117656740000003, 39.4785606331], [-0.3513102797, 39.4777883607], [-0.3524861392, 39.4753701623]]","(255, 165, 0)"
215,A76,468,COLON,"[[-0.36870956730000004, 39.4718478174], [-0.3701885233, 39.4704749878], [-0.3719057603, 39.469165598000004]]","(0, 255, 0)"
216,A77,737,COLÓN,"[[-0.374949986, 39.4671496765], [-0.37492133450000004, 39.4671565066], [-0.3748929912, 39.4671641004], [-0.37486501510000003, 39.4671724412], [-0.37483741800000003, 39.4671815203], [-0.3748102347, 39.4671913385], [-0.3747835128, 39.4672018697], [-0.3747572642, 39.4672131053], [-0.3747315357, 39.4672250373], [-0.3747063512, 39.4672376483], [-0.3746817458, 39.4672509299], [-0.37465774420000003, 39.4672648469], [-0.3746343695, 39.4672793995], [-0.3746116573, 39.4672945708], [-0.3719057603, 39.469165598000004]]","(255, 165, 0)"
217,A8,1620,"ALAMEDA, PASEO DE","[[-0.3630235093, 39.471684418], [-0.36223432650000004, 39.4707107213], [-0.36126011680000003, 39.4689419466]]","(255, 165, 0)"
218,A81,1,CORTES VALENCIANAS desde GENERAL AVILES hasta LA SAFOR,"[[-0.3992560546, 39.4902648465], [-0.39614870350000003, 39.4858699041]]","(0, 255, 0)"
219,A86,400,CUENCA,"[[-0.38646040330000003, 39.4664049108], [-0.38416196220000004, 39.4691495967]]","(0, 255, 0)"
220,A87,1,DOCTOR GOMEZ FERRER,"[[-0.36191286770000003, 39.4781226525], [-0.3608335723, 39.4803592009], [-0.35951818700000004, 39.4814079465]]","(0, 255, 0)"
221,A88,484,DOCTOR LLUCH,"[[-0.32825459770000004, 39.4676801841], [-0.3276572517, 39.4718514004]]","(0, 255, 0)"
222,A89,493,DOCTOR LLUCH,"[[-0.32899813580000004, 39.4624871902], [-0.3282616414, 39.4676309782]]","(0, 255, 0)"
223,A9,2280,"ALAMEDA, PASEO DE","[[-0.364690726, 39.4737413393], [-0.3630235093, 39.471684418]]","(255, 0, 0)"
224,B115,216,ALAMEDA,"[[-0.34785339590000003, 39.4559830305], [-0.34655568410000004, 39.4552940393], [-0.3464212279, 39.4552252865], [-0.3462837854, 39.455160204], [-0.3461434808, 39.4550988847], [-0.3460004977, 39.4550413958], [-0.3458550428, 39.4549877962], [-0.3457072531, 39.454938152], [-0.3455573232, 39.4548925396], [-0.34540543760000003, 39.4548509994], [-0.34525176820000003, 39.4548135894], [-0.34509651080000003, 39.454780359], [-0.3449398736, 39.4547513309], [-0.3447820058, 39.4547265537], [-0.3446231386, 39.4547060597], [-0.34446099420000004, 39.4546895445], [-0.3442982237, 39.4546772759], [-0.3441350235, 39.4546692764], [-0.3439715451, 39.4546655405], [-0.3438080086, 39.4546660823], [-0.34364460020000004, 39.4546708968], [-0.3434814826, 39.454679979], [-0.34132477650000004, 39.4549186003]]","(0, 255, 0)"
225,B118,423,MOLINELL,"[[-0.3709095398, 39.4851763616], [-0.3689679883, 39.4851159754], [-0.3640997714, 39.4848006144]]","(0, 255, 0)"
226,B12,90,BILBAO,"[[-0.3727678003, 39.4867544141], [-0.3725337487, 39.4874099424], [-0.3712315239, 39.4900807139]]","(0, 255, 0)"
227,B121,162,AMPARO ITURBI De J. Benlloch a J. Ramón Jiménez,"[[-0.3782963856, 39.454108901], [-0.3770522824, 39.4542685384], [-0.37458446430000003, 39.4552973892]]","(0, 255, 0)"
228,B123,150,PADRE ANTÓN MARTÍN De Avda. Naranjos a San Juan de Dios,"[[-0.3286711195, 39.4776854559], [-0.3286787393, 39.4752468797]]","(0, 255, 0)"
229,B15,210,CALIXTO III,"[[-0.3864473116, 39.4723220638], [-0.38804381130000004, 39.4716766756]]","(0, 255, 0)"
230,B16,216,CAMPOAMOR,"[[-0.3469799999, 39.4710371284], [-0.348810551, 39.4715433426]]","(0, 255, 0)"
231,B17,60,CANAL DE NAVARRÉS,"[[-0.4031283197, 39.4916421798], [-0.40092538380000003, 39.4926025421]]","(0, 255, 0)"
232,B18,1,CARRASQUETA,"[[-0.3957588211, 39.4936478421], [-0.3961839486, 39.4933626378]]","(0, 255, 0)"
233,B2,135,ACTOR MORA,"[[-0.3748502717, 39.4865121182], [-0.37802697150000003, 39.486242464]]","(0, 255, 0)"
234,B20,84,CASTIELFABIG,"[[-0.39666425600000005, 39.4797257988], [-0.3962917916, 39.4791642677]]","(0, 255, 0)"
235,B21,90,CAVITE,"[[-0.3266897409, 39.479251117], [-0.32667106230000004, 39.4764018152], [-0.32726833450000004, 39.4745668475]]","(0, 255, 0)"
236,B23,240,COETERS,"[[-0.4049422405, 39.458584486], [-0.4038619228, 39.4568069034]]","(0, 255, 0)"
237,B24,226,COFRENTES,"[[-0.3697723455, 39.4868637427], [-0.36531037590000004, 39.4856969832]]","(0, 255, 0)"
238,B26,416,CONDE SALVATIERRA,"[[-0.36856630570000004, 39.4702755314], [-0.36929564270000004, 39.4713038028]]","(0, 255, 0)"
239,B57,30,JACA,"[[-0.3693483182, 39.4843839394], [-0.37108297630000003, 39.4849189952]]","(0, 255, 0)"
240,A166,1008,NAVARRO REVERTER,"[[-0.3652115372, 39.4706732814], [-0.3682454015, 39.4719627449]]","(255, 165, 0)"
241,A167,360,NICASIO BENLLOCH,"[[-0.3904034309, 39.4882470327], [-0.3880373479, 39.4871786248]]","(0, 255, 0)"
242,A168,846,NICASIO BENLLOCH,"[[-0.40007543560000003, 39.4958158308], [-0.39846253260000003, 39.4935998615], [-0.3963372513, 39.4915158283]]","(255, 165, 0)"
243,A169,648,NICASIO BENLLOCH,"[[-0.3963372513, 39.4915158283], [-0.3952228676, 39.4904230035], [-0.3904034309, 39.4882470327]]","(255, 165, 0)"
244,A17,744,ALMASSORA,"[[-0.36839497800000004, 39.4879807779], [-0.3697723455, 39.4868637427], [-0.3738955033, 39.4807452324]]","(255, 165, 0)"
245,A170,2268,NUEVE DE OCTUBRE,"[[-0.40557020590000004, 39.4698198242], [-0.4051922653, 39.4710195433], [-0.4056095206, 39.4730414329]]","(255, 0, 0)"
246,A173,648,PASEO CIUDADELA,"[[-0.3668345369, 39.4726755588], [-0.3652115372, 39.4706732814]]","(255, 165, 0)"
247,A189,3888,PERIS Y VALERO,"[[-0.3834852721, 39.4577615712], [-0.3829963226, 39.4570762611], [-0.3829328413, 39.4569908243], [-0.38286556380000003, 39.4569071489], [-0.38279457920000004, 39.4568253359], [-0.3827199651, 39.456745486], [-0.3826418226, 39.4566676918], [-0.382560241, 39.4565920543], [-0.38247531, 39.4565186565], [-0.38238716570000003, 39.4564475916], [-0.3822958631, 39.456378942], [-0.3822015382, 39.4563128008], [-0.3821043162, 39.4562492338], [-0.3820042987, 39.4561883244], [-0.3819016103, 39.4561301566], [-0.38179637720000004, 39.4560747781], [-0.3816887239, 39.4560222728], [-0.3815787758, 39.4559727067], [-0.3814666825, 39.4559261191], [-0.3813525574, 39.4558825846], [-0.38123656110000004, 39.455842161], [-0.38111882020000004, 39.4558048781], [-0.38099947230000003, 39.455770784], [-0.38087867810000003, 39.4557399363], [-0.38075656480000003, 39.4557123471], [-0.38063329290000003, 39.4556880739], [-0.38050900120000003, 39.4556671378], [-0.38038385140000003, 39.4556495606], [-0.3802579936, 39.4556353726], [-0.3801315786, 39.4556245773], [-0.38000474500000003, 39.4556171957], [-0.3798776554, 39.4556132316], [-0.379750472, 39.4556126976], [-0.37962334610000004, 39.4556155881], [-0.37949641700000003, 39.4556219063], [-0.3793698595, 39.455631638], [-0.37924380160000004, 39.4556447772], [-0.3791184185, 39.4556613007], [-0.378993839, 39.4556811846], [-0.37887023750000004, 39.4557044235], [-0.3787477549, 39.4557309759], [-0.3786265321, 39.4557608087], [-0.3785067213, 39.4557938893], [-0.37838846340000004, 39.455830176], [-0.3782718995, 39.4558696268], [-0.3781571707, 39.4559121999], [-0.3780444301, 39.4559578357], [-0.37574658050000004, 39.4569276904]]","(255, 0, 0)"
248,A192,2682,"PIO BAROJA, AVENIDA","[[-0.40592998550000003, 39.4745942775], [-0.4065850798, 39.4777683863], [-0.4065878938, 39.477783692], [-0.4065900196, 39.4777990635], [-0.4065914693, 39.4778144829], [-0.4065922437, 39.4778299323], [-0.4065923201, 39.4778453932], [-0.40659172260000004, 39.477860848], [-0.4065904285, 39.4778762783], [-0.4065884617, 39.4778916665], [-0.4065858116, 39.4779069854], [-0.40658247820000004, 39.4779222351], [-0.4065784746, 39.4779373796], [-0.4065738125, 39.4779524104], [-0.4065684694, 39.4779673089], [-0.4065624813, 39.4779820489], [-0.40655584840000003, 39.4779966212], [-0.4065485595, 39.4780110168], [-0.40654065030000003, 39.4780252094], [-0.4065321101, 39.4780391807], [-0.4065229506, 39.4780529219], [-0.40651319620000004, 39.4780664067], [-0.4065028471, 39.4780796259], [-0.40649191570000004, 39.4780925618], [-0.4064804259, 39.478105197], [-0.4064683779, 39.4781175225], [-0.4064557961, 39.4781295117], [-0.40644268040000003, 39.4781411647], [-0.40642906630000003, 39.4781524642], [-0.4064149546, 39.4781633923], [-0.4064003687, 39.4781739404], [-0.406385321, 39.4781840908], [-0.40636983460000003, 39.4781938441], [-0.4063539223, 39.4782031734], [-0.40633760750000003, 39.4782120704], [-0.4063209139, 39.4782205264], [-0.40630384140000003, 39.4782285416], [-0.4062864376, 39.4782360899], [-0.40626870200000004, 39.4782431804], [-0.4062506705, 39.4782497868], [-0.4062323547, 39.4782559094], [-0.4062137779, 39.4782615487], [-0.4061949527, 39.478266678], [-0.40617592480000003, 39.4782713162], [-0.4061566954, 39.4782754364], [-0.40593700200000005, 39.4783194234]]","(255, 0, 0)"
249,A196,1025,"PLATA, AVENIDA DE LA","[[-0.36325861540000004, 39.4566818262], [-0.36674740780000004, 39.4552097808]]","(255, 165, 0)"
250,B42,210,FINLANDIA,"[[-0.35957445050000003, 39.4719999834], [-0.3587949092, 39.4715498925], [-0.35799372490000003, 39.4713460637]]","(0, 255, 0)"
251,A197,777,"PLATA, AVENIDA DE LA","[[-0.36674740780000004, 39.4552097808], [-0.3727586337, 39.4526730245]]","(255, 165, 0)"
252,A244,1860,"TORRE, VARIANTE DE LA","[[-0.399393343, 39.4339552779], [-0.3950194709, 39.4407906794], [-0.3949727364, 39.4408606218], [-0.39492285530000004, 39.4409292595], [-0.39486991260000004, 39.4409964952], [-0.3948139807, 39.4410622585], [-0.3947550979, 39.4411264512], [-0.39469337120000003, 39.4411890125], [-0.3946288497, 39.4412498716], [-0.3945616299, 39.4413089314], [-0.3944917839, 39.4413661305], [-0.3944193835, 39.4414214075], [-0.3943445477, 39.441474693], [-0.3942673607, 39.4415259077], [-0.3941878942, 39.4415749992], [-0.3941062785, 39.4416218984], [-0.3940225737, 39.4416665525], [-0.39393692080000003, 39.4417089197], [-0.3938494038, 39.4417489297], [-0.3937601401, 39.4417865492], [-0.3936692365, 39.4418217175], [-0.39357678690000003, 39.4418544096], [-0.3934829218, 39.4418845565], [-0.3933877578, 39.4419121426], [-0.3932914125, 39.4419371347], [-0.3931939916, 39.441959499], [-0.39309562400000003, 39.4419792114], [-0.39299642690000003, 39.4419962384], [-0.39289652890000004, 39.4420105651], [-0.3927960353, 39.4420221666], [-0.392695086, 39.4420310372], [-0.389131734, 39.4422952883], [-0.3890661402, 39.44230104], [-0.3890008297, 39.4423085367], [-0.388935907, 39.4423177809], [-0.3888714196, 39.4423287464], [-0.3888074607, 39.4423414264], [-0.3887441122, 39.4423558048], [-0.3886814324, 39.4423718738], [-0.3886194925, 39.442389599], [-0.3885583855, 39.4424089735], [-0.38849818210000003, 39.4424299719], [-0.3884389418, 39.4424525593], [-0.3883807352, 39.4424767105], [-0.38832364420000004, 39.4425024093], [-0.38826772860000003, 39.4425296118], [-0.3882130586, 39.4425583018], [-0.3881596943, 39.4425884264], [-0.3881076833, 39.4426199598], [-0.38805710800000004, 39.4426528677], [-0.3880080399, 39.4426871068], [-0.38796051530000003, 39.4427226328], [-0.3879145945, 39.4427593929], [-0.3878703361, 39.4427973706], [-0.3878277885, 39.4428365128], [-0.3877870003, 39.4428767665], [-0.38774803150000003, 39.4429180792], [-0.38771091820000003, 39.4429604155], [-0.3876757093, 39.4430037134], [-0.3876424536, 39.4430479112], [-0.3876111632, 39.4430929909], [-0.38758189940000004, 39.4431388728], [-0.38755469870000003, 39.4431855129], [-0.3875295865, 39.4432328485], [-0.3875065882, 39.4432808262], [-0.387485729, 39.4433293925], [-0.38746704600000004, 39.4433784852]]","(255, 165, 0)"
253,A245,3267,TRES CRUCES,"[[-0.40567216440000003, 39.4635758106], [-0.4061569739, 39.4679569844], [-0.40557020590000004, 39.4698198242]]","(255, 0, 0)"
254,A246,2821,TRES CRUCES,"[[-0.40567216440000003, 39.4635758106], [-0.4023572389, 39.4581180157]]","(255, 0, 0)"
255,A247,1,TRES FORQUES,"[[-0.40567216440000003, 39.4635758106], [-0.39602298700000005, 39.4639654864]]","(0, 255, 0)"
256,A248,1,TRES FORQUES,"[[-0.39602298700000005, 39.4639654864], [-0.38813882380000003, 39.4642832755]]","(0, 255, 0)"
257,A25,1396,ARCHIDUQUE CARLOS,"[[-0.4023572389, 39.4581180157], [-0.3973058545, 39.4627813099]]","(255, 165, 0)"
